url,movie title,movie link,Image Card,Image Card_link
https://www.mxplayer.in/movies,"Jaani Dushman
Dub, Hindi, 2013",https://www.mxplayer.in/movie/watch-jaani-dushman-movie-online-d61f1ec042a1cf63bc8e658c3da3281b,https://j2apps.s.llnwi.net/is1/media/images/d61f1ec042a1cf63bc8e658c3da3281b/2x3/2x/ce904a3d1ba346d8b0dea70573984e77_1280x1920.jpg,https://www.mxplayer.in/movie/watch-jaani-dushman-movie-online-d61f1ec042a1cf63bc8e658c3da3281b
https://www.mxplayer.in/movies,"Ambala
Dub, Hindi, 2015",https://www.mxplayer.in/movie/watch-ambala-movie-online-4b434e650ec016a2c0904f3885d6c5da,https://j2apps.s.llnwi.net/is1/media/images/4b434e650ec016a2c0904f3885d6c5da/2x3/2x/d7bac34aa7e0dc0bcd5069e70bfde28d_1280x1920.jpg,https://www.mxplayer.in/movie/watch-ambala-movie-online-4b434e650ec016a2c0904f3885d6c5da
https://www.mxplayer.in/movies,"Hero No Zero 2
Dub, Hindi, 2013",https://www.mxplayer.in/movie/watch-hero-no-zero-2-movie-online-9ec3f34f09d63d53b2c57493f579068f,https://j2apps.s.llnwi.net/is1/media/images/9ec3f34f09d63d53b2c57493f579068f/2x3/2x/e7e52198b0a5a959ed0d20cdcb190a4c_1280x1920.jpg,https://www.mxplayer.in/movie/watch-hero-no-zero-2-movie-online-9ec3f34f09d63d53b2c57493f579068f
https://www.mxplayer.in/movies,"Ek Aur Bol Bachchan
Dub, Hindi, 2013",https://www.mxplayer.in/movie/watch-ek-aur-bol-bachchan-movie-online-b0be154e5697c4fd6b2be78ea9f2bf1e,https://j2apps.s.llnwi.net/is1/media/images/b0be154e5697c4fd6b2be78ea9f2bf1e/2x3/2x/9a50de64eebce8438f021f59668d6ae1_1280x1920.jpg,https://www.mxplayer.in/movie/watch-ek-aur-bol-bachchan-movie-online-b0be154e5697c4fd6b2be78ea9f2bf1e
https://www.mxplayer.in/movies,"Ek Khiladi
Dub, Hindi, 2014",https://www.mxplayer.in/movie/watch-ek-khiladi-movie-online-3e49000e1e506198654221ba5e74e2fc,https://j2apps.s.llnwi.net/is1/media/images/3e49000e1e506198654221ba5e74e2fc/2x3/2x/test_pic1555055161940.jpg,https://www.mxplayer.in/movie/watch-ek-khiladi-movie-online-3e49000e1e506198654221ba5e74e2fc
https://www.mxplayer.in/movies,"DJ
Dub, Hindi, 2017",https://www.mxplayer.in/movie/watch-dj-movie-online-3f7de5a6ca099b1e5ef3f8dfa888fc8c,https://j2apps.s.llnwi.net/is1/media/images/3f7de5a6ca099b1e5ef3f8dfa888fc8c/2x3/2x/test_pic1552639112481.jpg,https://www.mxplayer.in/movie/watch-dj-movie-online-3f7de5a6ca099b1e5ef3f8dfa888fc8c
https://www.mxplayer.in/movies,"Kaashmora
Dub, Hindi, 2016",https://www.mxplayer.in/movie/watch-kaashmora-movie-online-fcb7acb9e4a7d76f3b9172d600391ed3,https://j2apps.s.llnwi.net/is1/media/images/fcb7acb9e4a7d76f3b9172d600391ed3/2x3/2x/test_pic1552641742096.jpg,https://www.mxplayer.in/movie/watch-kaashmora-movie-online-fcb7acb9e4a7d76f3b9172d600391ed3
https://www.mxplayer.in/movies,"Patel On Sale
Dub, Hindi, 2015",https://www.mxplayer.in/movie/watch-patel-on-sale-movie-online-7fdf6a8c16cbe22eb34f4984b1c10e9d,https://j2apps.s.llnwi.net/is1/media/images/7fdf6a8c16cbe22eb34f4984b1c10e9d/2x3/2x/test_pic1552649876355.jpg,https://www.mxplayer.in/movie/watch-patel-on-sale-movie-online-7fdf6a8c16cbe22eb34f4984b1c10e9d
https://www.mxplayer.in/movies,"Sarrainodu (Hindi)
Action, Hindi, 2017",https://www.mxplayer.in/movie/watch-sarrainodu-hindi-movie-online-3624e517ee336ba0d9b63bf2bd857502,https://j2apps.s.llnwi.net/is1/media/images/3624e517ee336ba0d9b63bf2bd857502/2x3/2x/test_pic1544792858186.jpg,https://www.mxplayer.in/movie/watch-sarrainodu-hindi-movie-online-3624e517ee336ba0d9b63bf2bd857502
https://www.mxplayer.in/movies,"The Super Khiladi 3
Dub, Hindi, 2010",https://www.mxplayer.in/movie/watch-the-super-khiladi-3-movie-online-dcadd79d339a2be9581c0308ee80503d,https://j2apps.s.llnwi.net/is1/media/images/dcadd79d339a2be9581c0308ee80503d/2x3/2x/test_pic1552901453164.jpg,https://www.mxplayer.in/movie/watch-the-super-khiladi-3-movie-online-dcadd79d339a2be9581c0308ee80503d
